"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"1400308";"Total";"2420";"653";"11019"
"1400407";"Total";"348";"67";"3149"
"1400456";"Total";"1195";"442";"2981"
"1400472";"Total";"5092";"1946";"16494"
"1400506";"Total";"1488";"689";"4207"
"1400605";"Total";"1792";"762";"3974"
"1400704";"Total";"56";"139";"741"
"1500107";"Total";"30537";"9578";"100106"
"1500131";"Total";"1757";"692";"4246"
"1500206";"Total";"5713";"3897";"43392"
"1500305";"Total";"6489";"1341";"27090"
"1500347";"Total";"7234";"1685";"15710"
"1500404";"Total";"10093";"3796";"38172"
"1500503";"Total";"5324";"1987";"25219"
"1500602";"Total";"24022";"8742";"60620"
"1500701";"Total";"4882";"1968";"17820"
"1500800";"Total";"112480";"33004";"322114"
"1500859";"Total";"4494";"2047";"13265"
"1500909";"Total";"4211";"2042";"34078"
"1500958";"Total";"4979";"1850";"19522"
"1501006";"Total";"1739";"1241";"10820"
"1501105";"Total";"4456";"1994";"17212"
"1501204";"Total";"5922";"6288";"24519"
"1501253";"Total";"1009";"241";"2048"
"1501303";"Total";"19809";"5594";"73452"
"1501402";"Total";"372490";"102083";"904379"
"1501451";"Total";"1995";"638";"13127"
"1501501";"Total";"10733";"3843";"36585"
"1501576";"Total";"3028";"1575";"9859"
"1501600";"Total";"2487";"901";"10113"
"1501709";"Total";"15028";"5848";"91655"
"1501725";"Total";"4279";"1641";"9227"
"1501758";"Total";"1446";"596";"5146"
"1501782";"Total";"9361";"3671";"39240"
"1501808";"Total";"19424";"7274";"65421"
"1501907";"Total";"3700";"2744";"19113"
"1501956";"Total";"2424";"1161";"22682"
"1502004";"Total";"1988";"2366";"15808"
"1502103";"Total";"26477";"7060";"86485"
"1502152";"Total";"6880";"1761";"17431"
"1502202";"Total";"15988";"2495";"44814"
"1502301";"Total";"7878";"1576";"42201"
"1502400";"Total";"41023";"9258";"120556"
"1502509";"Total";"2113";"1895";"16674"
"1502608";"Total";"2341";"281";"8715"
"1502707";"Total";"11156";"4524";"28537"
"1502756";"Total";"4082";"2193";"21824"
"1502764";"Total";"1959";"976";"6082"
"1502772";"Total";"3817";"1507";"12732"
"1502806";"Total";"3935";"997";"23569"
"1502855";"Total";"2296";"769";"9117"
"1502905";"Total";"5688";"890";"27562"
"1502939";"Total";"11537";"3780";"35353"
"1502954";"Total";"6296";"2561";"22469"
"1503002";"Total";"1385";"204";"6518"
