"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"2513802";"Total";"1828";"126";"2610"
"2513851";"Total";"1169";"125";"1223"
"2513901";"Total";"13543";"785";"16177"
"2513927";"Total";"1798";"275";"2058"
"2513943";"Total";"1159";"45";"1200"
"2513968";"Total";"1021";"434";"1312"
"2513984";"Total";"1508";"365";"1366"
"2514008";"Total";"1671";"123";"2489"
"2514107";"Total";"1318";"480";"2551"
"2514206";"Total";"2856";"238";"4411"
"2514305";"Total";"2100";"195";"3715"
"2514404";"Total";"1735";"276";"2577"
"2514453";"Total";"1896";"310";"3247"
"2514503";"Total";"8766";"1007";"9160"
"2514552";"Total";"1401";"162";"2583"
"2514602";"Total";"1015";"81";"2125"
"2514651";"Total";"583";"16";"1073"
"2514701";"Total";"2108";"77";"1761"
"2514800";"Total";"1717";"31";"2204"
"2514909";"Total";"3997";"242";"3417"
"2515005";"Total";"2230";"670";"3751"
"2515104";"Total";"4135";"574";"6236"
"2515203";"Total";"1100";"68";"2043"
"2515302";"Total";"17760";"2144";"29727"
"2515401";"Total";"3175";"800";"6185"
"2515500";"Total";"5389";"535";"6914"
"2515609";"Total";"1087";"169";"1940"
"2515708";"Total";"611";"94";"2261"
"2515807";"Total";"2724";"251";"4002"
"2515906";"Total";"1958";"186";"4023"
"2515930";"Total";"1253";"199";"2920"
"2515971";"Total";"2527";"233";"4582"
"2516003";"Total";"9854";"1046";"15303"
"2516102";"Total";"6038";"501";"7145"
"2516151";"Total";"1383";"62";"1693"
"2516201";"Total";"28282";"4937";"31428"
"2516300";"Total";"6429";"650";"8833"
"2516409";"Total";"3649";"506";"6086"
"2516508";"Total";"5749";"618";"8362"
"2516607";"Total";"5233";"1038";"7532"
"2516706";"Total";"4716";"598";"8557"
"2516755";"Total";"1252";"43";"1514"
"2516805";"Total";"3138";"568";"5481"
"2516904";"Total";"6403";"980";"6832"
"2517001";"Total";"3943";"372";"4930"
"2517100";"Total";"1611";"140";"747"
"2517209";"Total";"2142";"177";"2629"
"2517407";"Total";"835";"38";"1196"
"2600054";"Total";"31912";"7516";"53745"
"2600104";"Total";"15348";"1115";"18364"
"2600203";"Total";"8297";"2034";"6988"
"2600302";"Total";"11906";"1442";"9171"
"2600401";"Total";"8375";"1869";"22561"
"2600500";"Total";"12809";"1728";"22082"
"2600609";"Total";"5725";"739";"7188"
"2600708";"Total";"12004";"2173";"22849"
"2600807";"Total";"9253";"764";"12248"
"2600906";"Total";"7997";"742";"13142"
"2601003";"Total";"3365";"397";"6389"
"2601052";"Total";"4721";"1619";"11755"
"2601102";"Total";"20646";"5833";"49361"
"2601201";"Total";"25049";"3910";"37999"
"2601300";"Total";"5359";"381";"6995"
"2601409";"Total";"11562";"2843";"25965"
"2601508";"Total";"4595";"298";"6434"
"2601607";"Total";"4409";"1738";"13046"
"2601706";"Total";"29230";"2373";"40462"
"2601805";"Total";"3711";"1521";"6693"
"2601904";"Total";"31215";"1900";"25141"
"2602001";"Total";"7467";"1419";"25512"
"2602100";"Total";"14224";"2174";"28781"
"2602209";"Total";"15731";"1528";"20461"
"2602308";"Total";"15822";"828";"20748"
"2602407";"Total";"3299";"476";"4992"
"2602506";"Total";"2657";"298";"4152"
"2602605";"Total";"16088";"1752";"26967"
"2602704";"Total";"4137";"929";"7425"
"2602803";"Total";"11379";"1805";"37353"
"2602902";"Total";"57755";"17871";"107203"
"2603009";"Total";"7107";"2991";"16232"
"2603108";"Total";"8258";"805";"9678"
"2603207";"Total";"11383";"922";"13958"
"2603306";"Total";"3509";"366";"7225"
"2603405";"Total";"1534";"172";"3907"
"2603454";"Total";"49911";"11466";"81618"
"2603504";"Total";"8423";"577";"8062"
"2603603";"Total";"2883";"271";"4990"
"2603702";"Total";"8140";"874";"15391"
"2603801";"Total";"9278";"790";"9445"
"2603900";"Total";"7672";"848";"9860"
"2603926";"Total";"1886";"328";"5722"
"2604007";"Total";"24895";"5367";"43252"
"2604106";"Total";"157034";"11643";"143216"
"2604155";"Total";"6414";"284";"7054"
"2604205";"Total";"13430";"1879";"22185"
"2604304";"Total";"3177";"595";"6948"
"2604403";"Total";"3240";"653";"8455"
"2604502";"Total";"9034";"614";"10365"
"2604601";"Total";"6787";"1638";"15787"
"2604700";"Total";"5665";"671";"11000"
"2604809";"Total";"3937";"449";"7990"
"2604908";"Total";"8115";"545";"8448"
"2605004";"Total";"10891";"310";"12019"
"2605103";"Total";"12307";"1551";"19555"
"2605152";"Total";"8832";"691";"7323"
"2605202";"Total";"18066";"3328";"41730"
"2605301";"Total";"7379";"1069";"22969"
"2605400";"Total";"7931";"1017";"11430"
"2605459";"Total";"962";"263";"1384"
"2605509";"Total";"4440";"416";"6529"
"2605608";"Total";"7490";"606";"13921"
"2605707";"Total";"6285";"1136";"19211"
"2605806";"Total";"8895";"138";"5224"
"2605905";"Total";"7558";"1582";"18380"
"2606002";"Total";"54785";"5970";"66881"
"2606101";"Total";"8894";"1733";"18245"
"2606200";"Total";"22109";"5641";"47223"
"2606309";"Total";"1011";"182";"5475"
"2606408";"Total";"37121";"2039";"36821"
"2606507";"Total";"5891";"494";"11840"
"2606606";"Total";"7202";"772";"16604"
"2606705";"Total";"3112";"294";"4091"
"2606804";"Total";"27529";"8090";"65109"
"2606903";"Total";"3998";"322";"7428"
"2607000";"Total";"3477";"1196";"12216"
"2607109";"Total";"2042";"140";"2270"
"2607208";"Total";"22533";"6628";"50883"
"2607307";"Total";"6707";"1487";"19455"
"2607406";"Total";"802";"1067";"2043"
"2607505";"Total";"7572";"476";"17949"
"2607604";"Total";"5419";"1562";"14588"
"2607653";"Total";"10350";"2545";"22160"
"2607703";"Total";"6597";"456";"6563"
"2607752";"Total";"5564";"2702";"15190"
"2607802";"Total";"3737";"706";"10891"
"2607901";"Total";"235911";"50682";"349171"
"2607950";"Total";"3905";"829";"6600"
"2608008";"Total";"5526";"310";"9933"
"2608057";"Total";"3103";"794";"6769"
"2608107";"Total";"12836";"937";"16952"
"2608206";"Total";"4635";"915";"10112"
"2608255";"Total";"4269";"551";"5727"
"2608305";"Total";"5276";"442";"7972"
"2608404";"Total";"5729";"312";"8439"
"2608453";"Total";"6023";"689";"9174"
"2608503";"Total";"5589";"1467";"13149"
"2608602";"Total";"5354";"276";"6463"
"2608701";"Total";"6016";"498";"9008"
"2608750";"Total";"5565";"1656";"15143"
"2608800";"Total";"15757";"1387";"19225"
"2608909";"Total";"22523";"3174";"29268"
"2609006";"Total";"9982";"1210";"12625"
"2609105";"Total";"5459";"495";"7608"
"2609154";"Total";"3949";"247";"13822"
"2609204";"Total";"4107";"350";"7721"
"2609303";"Total";"1973";"1544";"9642"
"2609402";"Total";"17128";"3452";"35656"
"2609501";"Total";"8141";"3728";"18655"
"2609600";"Total";"136665";"37405";"197897"
"2609709";"Total";"10553";"1597";"10673"
"2609808";"Total";"1908";"1581";"9107"
"2609907";"Total";"19555";"3723";"40461"
"2610004";"Total";"21137";"3949";"33832"
"2610103";"Total";"2855";"192";"5068"
"2610202";"Total";"9696";"1285";"14567"
"2610301";"Total";"4135";"330";"6394"
"2610400";"Total";"6872";"552";"12699"
"2610509";"Total";"11486";"969";"16129"
"2610608";"Total";"15533";"2292";"33174"
"2610707";"Total";"115761";"29401";"150073"
"2610806";"Total";"6202";"896";"13628"
"2610905";"Total";"19762";"1452";"31695"
"2611002";"Total";"8580";"1786";"19632"
"2611101";"Total";"94590";"22265";"173572"
"2611200";"Total";"4288";"423";"6314"
"2611309";"Total";"9535";"738";"13633"
"2611408";"Total";"4554";"931";"7766"
"2611507";"Total";"8122";"1035";"14873"
"2611533";"Total";"2517";"186";"3989"
"2611606";"Total";"628735";"125580";"764884"
"2611705";"Total";"9578";"534";"9024"
"2611804";"Total";"14994";"2645";"26582"
"2611903";"Total";"5499";"2093";"14323"
"2612000";"Total";"5772";"505";"4921"
"2612109";"Total";"3688";"878";"4692"
"2612208";"Total";"14457";"4888";"35242"
"2612307";"Total";"5595";"456";"9015"
"2612406";"Total";"8020";"853";"12913"
"2612455";"Total";"5337";"355";"7792"
"2612471";"Total";"3590";"1093";"6911"
"2612505";"Total";"38687";"2442";"45380"
"2612554";"Total";"4002";"265";"8986"
"2612604";"Total";"6250";"4209";"28067"
"2612703";"Total";"5677";"667";"6651"
"2612802";"Total";"4588";"481";"5844"
"2612901";"Total";"4514";"578";"8510"
"2613008";"Total";"23088";"1860";"27978"
"2613107";"Total";"14835";"984";"19232"
"2613206";"Total";"7297";"535";"13256"
"2613305";"Total";"10265";"359";"9796"
"2613404";"Total";"4781";"1263";"12024"
"2613503";"Total";"8421";"1964";"22003"
"2613602";"Total";"13064";"1574";"16954"
"2613701";"Total";"33297";"9163";"59136"
"2613800";"Total";"6614";"568";"9762"
"2613909";"Total";"28900";"3693";"45637"
"2614006";"Total";"4652";"574";"12981"
"2614105";"Total";"11403";"1464";"20421"
"2614204";"Total";"9142";"3553";"27267"
"2614303";"Total";"3461";"482";"7106"
"2614402";"Total";"3142";"201";"2347"
"2614501";"Total";"28494";"811";"28992"
"2614600";"Total";"12613";"858";"12821"
"2614709";"Total";"5762";"449";"6368"
"2614808";"Total";"3415";"1326";"12884"
"2614857";"Total";"4806";"1092";"14733"
"2615003";"Total";"11311";"383";"13142"
"2615102";"Total";"2620";"149";"3909"
"2615201";"Total";"2449";"493";"6298"
"2615300";"Total";"20691";"2878";"29673"
"2615409";"Total";"16090";"628";"18576"
"2615508";"Total";"3424";"1043";"8573"
"2615607";"Total";"6586";"1192";"17606"
"2615706";"Total";"6000";"637";"8211"
"2615805";"Total";"7131";"1089";"15215"
"2615904";"Total";"2974";"381";"4478"
"2616001";"Total";"6218";"414";"9253"
"2616100";"Total";"1867";"365";"6829"
"2616183";"Total";"3769";"96";"3982"
"2616209";"Total";"7378";"462";"10270"
"2616308";"Total";"12296";"1966";"16393"
"2616407";"Total";"49187";"7229";"72815"
"2616506";"Total";"4334";"753";"8795"
"2700102";"Total";"3460";"1650";"13843"
"2700201";"Total";"5752";"1394";"10137"
"2700300";"Total";"77215";"12006";"122622"
"2700409";"Total";"12424";"4515";"26624"
"2700508";"Total";"3947";"1176";"8969"
"2700607";"Total";"2281";"459";"4756"
"2700706";"Total";"4483";"867";"11494"
"2700805";"Total";"1298";"346";"2829"
"2700904";"Total";"2748";"430";"3776"
"2701001";"Total";"8489";"827";"16215"
"2701100";"Total";"2747";"844";"6865"
"2701209";"Total";"2410";"503";"7124"
"2701308";"Total";"4694";"920";"14745"
"2701357";"Total";"1974";"358";"4230"
"2701407";"Total";"12387";"2883";"34755"
"2701506";"Total";"2488";"248";"6248"
"2701605";"Total";"5422";"614";"11048"
"2701704";"Total";"5116";"810";"10911"
"2701803";"Total";"2168";"214";"5844"
"2701902";"Total";"2303";"262";"4527"
"2702009";"Total";"4133";"873";"5869"
"2702108";"Total";"6456";"494";"12595"
"2702207";"Total";"1314";"569";"3609"
"2702306";"Total";"16092";"3951";"31137"
"2702355";"Total";"7840";"1439";"13214"
"2702405";"Total";"12518";"2782";"32408"
"2702504";"Total";"2538";"457";"7821"
"2702553";"Total";"4539";"674";"11913"
"2702603";"Total";"7392";"1091";"12520"
"2702702";"Total";"1120";"355";"2770"
"2702801";"Total";"3077";"863";"8238"
"2702900";"Total";"7817";"1110";"27613"
"2703007";"Total";"5288";"1075";"8623"
"2703106";"Total";"8419";"592";"15860"
"2703205";"Total";"6047";"1507";"15415"
"2703304";"Total";"4167";"809";"12108"
"2703403";"Total";"1270";"305";"3831"
"2703502";"Total";"2026";"400";"4531"
"2703601";"Total";"1773";"194";"5772"
"2703700";"Total";"1752";"149";"3647"
"2703759";"Total";"3643";"787";"7398"
"2703809";"Total";"5859";"850";"14236"
"2703908";"Total";"1171";"285";"2657"
"2704005";"Total";"8495";"927";"14023"
"2704104";"Total";"5329";"696";"12080"
"2704203";"Total";"8478";"1288";"17207"
"2704302";"Total";"336469";"72142";"511350"
"2704401";"Total";"5972";"1235";"11466"
"2704500";"Total";"6330";"1807";"20142"
"2704609";"Total";"3324";"331";"6515"
"2704708";"Total";"12694";"3948";"28818"
"2704807";"Total";"4489";"860";"8162"
"2704906";"Total";"1127";"214";"2270"
"2705002";"Total";"6276";"1143";"17027"
"2705101";"Total";"5392";"1714";"16295"
"2705200";"Total";"4600";"1301";"9128"
"2705309";"Total";"1383";"416";"3400"
"2705408";"Total";"1468";"762";"4585"
"2705507";"Total";"7733";"2111";"16648"
"2705606";"Total";"3569";"698";"7679"
"2705705";"Total";"5228";"922";"13945"
"2705804";"Total";"1920";"228";"6313"
"2705903";"Total";"1584";"147";"3225"
"2706000";"Total";"2515";"181";"8289"
"2706109";"Total";"3780";"540";"6495"
"2706208";"Total";"726";"1107";"3158"
"2706307";"Total";"22526";"3770";"42065"
"2706406";"Total";"3955";"1892";"17511"
"2706422";"Total";"1621";"342";"4989"
"2706448";"Total";"3204";"1149";"6919"
"2706505";"Total";"3096";"1056";"10392"
"2706604";"Total";"2736";"340";"4291"
"2706703";"Total";"16114";"4711";"38967"
"2706802";"Total";"4507";"2190";"10227"
"2706901";"Total";"9000";"3149";"20860"
"2707008";"Total";"862";"206";"1787"
"2707107";"Total";"4998";"1302";"16469"
"2707206";"Total";"3700";"850";"9123"
"2707305";"Total";"7379";"1120";"17039"
"2707404";"Total";"1836";"464";"6001"
"2707503";"Total";"4755";"367";"12288"
"2707602";"Total";"3555";"246";"7628"
"2707701";"Total";"20123";"5146";"41854"
"2707800";"Total";"1884";"275";"4376"
"2707909";"Total";"1632";"907";"4255"
"2708006";"Total";"14295";"1792";"27973"
"2708105";"Total";"3966";"889";"6041"
"2708204";"Total";"2036";"502";"4124"
"2708303";"Total";"7822";"1246";"13228"
"2708402";"Total";"5838";"2147";"21161"
"2708501";"Total";"8204";"1689";"22200"
"2708600";"Total";"16077";"4465";"33068"
"2708709";"Total";"1616";"1123";"4156"
"2708808";"Total";"11655";"1003";"18705"
"2708907";"Total";"4194";"1005";"9131"
"2708956";"Total";"2577";"806";"9082"
"2709004";"Total";"1780";"321";"3894"
"2709103";"Total";"6303";"992";"11543"
"2709152";"Total";"12126";"3047";"25180"
"2709202";"Total";"5503";"1581";"18461"
"2709301";"Total";"20854";"4495";"36212"
"2709400";"Total";"7021";"1792";"16449"
"2800100";"Total";"443";"256";"1565"
"2800209";"Total";"5323";"771";"13479"
"2800308";"Total";"183692";"60425";"316559"
"2800407";"Total";"1927";"1535";"7267"
"2800506";"Total";"4162";"1571";"10997"
"2800605";"Total";"4468";"2864";"17405"
"2800670";"Total";"5654";"2062";"17555"
"2800704";"Total";"1837";"1041";"4739"
"2801009";"Total";"5205";"981";"10538"
"2801108";"Total";"971";"416";"2569"
"2801207";"Total";"6983";"467";"17076"
"2801306";"Total";"6177";"3059";"21197"
"2801405";"Total";"6942";"1998";"10805"
"2801504";"Total";"3056";"1288";"8987"
"2801603";"Total";"2164";"194";"3237"
"2801702";"Total";"3127";"1371";"11924"
"2801900";"Total";"1159";"311";"2262"
"2802007";"Total";"841";"922";"2446"
"2802106";"Total";"13069";"5642";"44431"
"2802205";"Total";"1322";"78";"3854"
"2802304";"Total";"4072";"653";"9130"
"2802403";"Total";"3128";"284";"7929"
"2802502";"Total";"430";"630";"1848"
"2802601";"Total";"1921";"141";"3510"
"2802700";"Total";"2129";"417";"5714"
"2802809";"Total";"2061";"2017";"11088"
"2802908";"Total";"33750";"4435";"48378"
"2803005";"Total";"12050";"2205";"24395"
"2803104";"Total";"1659";"169";"3121"
"2803203";"Total";"6211";"3662";"19880"
"2803302";"Total";"2832";"1175";"12634"
"2803401";"Total";"2923";"646";"9215"
"2803500";"Total";"28952";"5938";"58736"
"2803609";"Total";"4308";"4924";"17259"
"2803708";"Total";"1389";"174";"4822"
"2803807";"Total";"781";"280";"2371"
"2803906";"Total";"3025";"914";"8103"
"2804003";"Total";"3264";"2491";"10464"
"2804102";"Total";"4576";"293";"6074"
"2804201";"Total";"3883";"540";"9180"
"2804300";"Total";"1550";"535";"5077"
"2804409";"Total";"4040";"2079";"12080"
"2804458";"Total";"2362";"197";"5933"
"2804508";"Total";"11584";"740";"19737"
"2804607";"Total";"7861";"1190";"15111"
"2804706";"Total";"1778";"224";"4112"
"2804805";"Total";"38050";"21066";"97377"
"2804904";"Total";"2771";"481";"9824"
"2805000";"Total";"499";"194";"2276"
"2805109";"Total";"1763";"819";"6049"
"2805208";"Total";"978";"604";"4379"
"2805307";"Total";"2157";"610";"5324"
"2805406";"Total";"7136";"1071";"22039"
"2805505";"Total";"7024";"714";"14121"
"2805604";"Total";"9278";"1562";"15693"
"2805703";"Total";"9380";"2544";"16032"
"2805802";"Total";"3338";"1161";"14799"
"2805901";"Total";"1392";"1128";"6679"
"2806008";"Total";"7186";"382";"9531"
"2806107";"Total";"1434";"1612";"6053"
"2806206";"Total";"4594";"1441";"13158"
"2806305";"Total";"2317";"2201";"7980"
"2806404";"Total";"1531";"871";"4481"
"2806503";"Total";"737";"663";"2291"
"2806602";"Total";"2484";"1301";"7429"
"2806701";"Total";"16863";"8606";"51981"
"2806800";"Total";"2341";"527";"7353"
"2806909";"Total";"542";"57";"2791"
"2807006";"Total";"955";"157";"2583"
"2807105";"Total";"11708";"1943";"24550"
"2807204";"Total";"1608";"575";"5611"
"2807303";"Total";"901";"241";"1734"
"2807402";"Total";"16058";"2929";"28357"
"2807501";"Total";"3225";"947";"8509"
"2807600";"Total";"4565";"2737";"14855"
"2900108";"Total";"3590";"368";"4305"
"2900207";"Total";"2006";"1638";"12618"
"2900306";"Total";"3064";"1958";"9349"
"2900355";"Total";"5247";"866";"9431"
"2900405";"Total";"1256";"2934";"11234"
"2900504";"Total";"3489";"1537";"5721"
"2900603";"Total";"672";"1057";"2817"
"2900702";"Total";"24083";"32739";"82447"
"2900801";"Total";"3239";"4757";"13043"
"2900900";"Total";"1131";"1299";"3848"
"2901007";"Total";"6806";"6954";"20365"
"2901106";"Total";"2062";"6733";"16230"
"2901155";"Total";"2595";"3147";"9929"
"2901205";"Total";"8143";"1749";"15434"
"2901304";"Total";"1543";"2318";"9972"
"2901353";"Total";"4057";"836";"9270"
"2901403";"Total";"3911";"1330";"8648"
"2901502";"Total";"812";"1638";"7728"
"2901601";"Total";"6819";"888";"9347"
"2901700";"Total";"814";"6367";"4286"
"2901809";"Total";"2409";"1046";"7450"
"2901908";"Total";"4302";"1749";"11590"
"2901957";"Total";"1567";"711";"5173"
"2902005";"Total";"4625";"569";"8511"
"2902054";"Total";"1281";"2779";"7279"
"2902104";"Total";"11481";"3987";"35647"
"2902203";"Total";"715";"2511";"6693"
"2902252";"Total";"1702";"1494";"7086"
"2902302";"Total";"967";"1980";"5505"
"2902401";"Total";"1600";"3042";"8744"
"2902500";"Total";"3976";"648";"9078"
"2902609";"Total";"2969";"1983";"14981"
"2902658";"Total";"3818";"337";"5721"
"2902708";"Total";"8050";"6458";"34249"
"2902807";"Total";"8557";"1140";"11389"
"2902906";"Total";"9667";"3349";"21261"
"2903003";"Total";"3930";"711";"9303"
"2903102";"Total";"920";"1000";"4327"
"2903201";"Total";"36899";"13381";"84496"
"2903235";"Total";"4593";"676";"8138"
"2903276";"Total";"4429";"2281";"7272"
"2903300";"Total";"745";"1018";"4641"
"2903409";"Total";"2958";"2502";"15817"
"2903508";"Total";"4401";"1106";"10485"
"2903607";"Total";"1883";"2628";"10037"
"2903706";"Total";"4433";"1549";"9271"
"2903805";"Total";"3062";"3672";"10767"
"2903904";"Total";"14177";"12154";"36055"
"2903953";"Total";"3335";"589";"6137"
"2904001";"Total";"2639";"2301";"8559"
"2904050";"Total";"3535";"1567";"9305"
"2904100";"Total";"6370";"1044";"14370"
"2904209";"Total";"3006";"1019";"6985"
"2904308";"Total";"3199";"2255";"8613"
"2904407";"Total";"3390";"896";"6730"
"2904506";"Total";"3266";"692";"6613"
"2904605";"Total";"27403";"3346";"33475"
"2904704";"Total";"2935";"3192";"12105"
"2904753";"Total";"4021";"645";"14534"
"2904803";"Total";"2644";"979";"7775"
"2904852";"Total";"1878";"5078";"10171"
"2904902";"Total";"3413";"12265";"15605"
"2905008";"Total";"8598";"1193";"12245"
"2905107";"Total";"1518";"1571";"7051"
"2905156";"Total";"4826";"389";"8319"
"2905206";"Total";"19093";"3286";"24738"
"2905305";"Total";"2896";"1431";"12627"
"2905404";"Total";"2106";"2731";"10227"
"2905503";"Total";"2280";"1055";"9038"
"2905602";"Total";"5070";"5696";"19925"
"2905701";"Total";"40073";"53224";"144357"
"2905800";"Total";"4658";"11204";"18813"
"2905909";"Total";"6067";"2570";"18478"
"2906006";"Total";"15920";"8137";"41197"
"2906105";"Total";"3819";"493";"5047"
"2906204";"Total";"5707";"1828";"16352"
"2906303";"Total";"5604";"4329";"21800"
"2906402";"Total";"1045";"1972";"5774"
"2906501";"Total";"7873";"23092";"51056"
"2906600";"Total";"4252";"893";"7930"
"2906709";"Total";"7632";"1553";"18525"
"2906808";"Total";"7793";"1823";"23084"
"2906824";"Total";"3923";"1067";"10327"
"2906857";"Total";"4197";"991";"6209"
"2906873";"Total";"7830";"3237";"15316"
"2906899";"Total";"4033";"333";"5781"
"2906907";"Total";"3179";"4014";"13985"
"2907004";"Total";"894";"2389";"5307"
"2907103";"Total";"5879";"3109";"18998"
"2907202";"Total";"20970";"4769";"38387"
"2907301";"Total";"3001";"5662";"16474"
"2907400";"Total";"693";"205";"1678"
"2907509";"Total";"6510";"9491";"34088"
"2907558";"Total";"3859";"474";"4491"
"2907608";"Total";"4455";"1577";"10921"
"2907707";"Total";"1651";"1246";"7604"
"2907806";"Total";"12757";"1969";"17364"
"2907905";"Total";"3969";"1642";"10124"
"2908002";"Total";"3922";"2969";"13890"
"2908101";"Total";"7154";"801";"9958"
"2908200";"Total";"1462";"8415";"10265"
"2908309";"Total";"1731";"5322";"10695"
"2908408";"Total";"17209";"9333";"34962"
"2908507";"Total";"2638";"8875";"17967"
"2908606";"Total";"3384";"4770";"15126"
"2908705";"Total";"5119";"663";"11056"
"2908804";"Total";"1193";"436";"2991"
"2908903";"Total";"2111";"5865";"13926"
"2909000";"Total";"2759";"183";"5222"
"2909109";"Total";"4143";"829";"9132"
"2909208";"Total";"5413";"451";"11042"
"2909307";"Total";"8913";"3144";"18959"
"2909406";"Total";"3045";"1124";"9230"
"2909505";"Total";"1156";"759";"3081"
"2909604";"Total";"5197";"974";"13730"
"2909703";"Total";"4489";"998";"7636"
"2909802";"Total";"8155";"15172";"34529"
"2909901";"Total";"5918";"2498";"22677"
"2910008";"Total";"2294";"2055";"8375"
"2910057";"Total";"11812";"14741";"38409"
"2910107";"Total";"6195";"150";"4971"
"2910206";"Total";"668";"859";"2324"
"2910305";"Total";"2133";"1470";"4257"
"2910404";"Total";"5888";"1562";"16054"
"2910503";"Total";"5065";"7945";"26052"
"2910602";"Total";"5856";"6389";"19785"
"2910701";"Total";"12137";"3133";"39306"
"2910727";"Total";"26801";"12251";"59376"
"2910750";"Total";"6395";"877";"10073"
"2910776";"Total";"2310";"444";"3345"
"2910800";"Total";"111556";"128206";"310980"
"2910859";"Total";"3315";"1607";"11544"
"2910909";"Total";"1392";"586";"3328"
"2911006";"Total";"2253";"1175";"7112"
"2911105";"Total";"3979";"2139";"16084"
"2911204";"Total";"5359";"4520";"20194"
"2911253";"Total";"1281";"519";"2727"
"2911303";"Total";"4358";"551";"5701"
"2911402";"Total";"4553";"780";"8491"
"2911501";"Total";"1033";"1762";"5385"
"2911600";"Total";"1674";"6219";"11725"
"2911659";"Total";"2729";"339";"7287"
"2911709";"Total";"30009";"7333";"40566"
"2911808";"Total";"4478";"1897";"15615"
"2911857";"Total";"5285";"886";"6952"
"2911907";"Total";"4287";"3424";"17701"
"2912004";"Total";"4237";"829";"4845"
"2912103";"Total";"5384";"2451";"15808"
"2912202";"Total";"3753";"1804";"11615"
"2912301";"Total";"4213";"1364";"10144"
"2912400";"Total";"4932";"2209";"9611"
"2912509";"Total";"6363";"503";"7092"
"2912608";"Total";"785";"468";"3546"
"2912707";"Total";"3331";"6801";"12137"
"2912806";"Total";"2009";"991";"4697"
"2912905";"Total";"2812";"1965";"14002"
"2913002";"Total";"3254";"1992";"10172"
"2913101";"Total";"5264";"2494";"9957"
"2913200";"Total";"5150";"3308";"16545"
"2913309";"Total";"1637";"1031";"2548"
"2913408";"Total";"5924";"1749";"7399"
"2913457";"Total";"1777";"4637";"6645"
"2913507";"Total";"7287";"1880";"16394"
"2913606";"Total";"35100";"33452";"109863"
"2913705";"Total";"7097";"6077";"22780"
"2913804";"Total";"2726";"2812";"9702"
"2913903";"Total";"8072";"6455";"29493"
"2914000";"Total";"11778";"8237";"38377"
"2914109";"Total";"4885";"321";"4038"
"2914208";"Total";"1872";"671";"4436"
"2914307";"Total";"2783";"1493";"7611"
"2914406";"Total";"4298";"1726";"16342"
"2914505";"Total";"1930";"8413";"16664"
"2914604";"Total";"21666";"7151";"36763"
"2914653";"Total";"5313";"3302";"19183"
"2914703";"Total";"13214";"10112";"37339"
"2914802";"Total";"45317";"28579";"128323"
"2914901";"Total";"3154";"6618";"14194"
"2915007";"Total";"2347";"3420";"8910"
"2915106";"Total";"2582";"1281";"9145"
"2915205";"Total";"3324";"2590";"9131"
"2915304";"Total";"1559";"789";"4587"
"2915353";"Total";"2762";"1499";"8855"
"2915403";"Total";"1541";"1085";"4346"
"2915502";"Total";"3536";"2842";"14545"
"2915601";"Total";"9269";"4180";"48394"
"2915700";"Total";"1459";"1908";"4527"
"2915809";"Total";"5646";"3224";"13904"
"2915908";"Total";"630";"1827";"4990"
"2916005";"Total";"5866";"1403";"12672"
"2916104";"Total";"1869";"4731";"13903"
"2916203";"Total";"2050";"1651";"7211"
"2916302";"Total";"1834";"1945";"6397"
"2916401";"Total";"18785";"7736";"40925"
"2916500";"Total";"6012";"1733";"24472"
"2916609";"Total";"1694";"1246";"7219"
"2916708";"Total";"1912";"910";"4833"
"2916807";"Total";"5209";"1465";"11701"
"2916856";"Total";"3521";"1804";"9116"
"2916906";"Total";"2785";"1485";"8288"
"2917003";"Total";"6992";"3006";"25851"
"2917102";"Total";"3985";"2024";"13603"
"2917201";"Total";"7263";"1259";"9467"
"2917300";"Total";"4398";"6605";"15461"
"2917334";"Total";"2724";"1203";"6665"
"2917359";"Total";"2701";"733";"5517"
"2917409";"Total";"5269";"298";"8032"
"2917508";"Total";"17695";"10991";"49138"
"2917607";"Total";"13366";"7371";"29698"
"2917706";"Total";"7169";"1792";"20582"
"2917805";"Total";"1498";"4549";"10209"
"2917904";"Total";"875";"508";"8875"
"2918001";"Total";"39581";"19060";"91613"
"2918100";"Total";"10008";"2778";"24648"
"2918209";"Total";"2850";"2994";"8067"
"2918308";"Total";"2687";"2082";"9292"
"2918357";"Total";"5606";"2305";"14096"
"2918407";"Total";"49977";"22313";"121989"
"2918456";"Total";"1761";"203";"8296"
"2918506";"Total";"4153";"1563";"9185"
"2918555";"Total";"1131";"946";"4346"
"2918605";"Total";"3520";"508";"3976"
"2918704";"Total";"802";"633";"2383"
"2918753";"Total";"6425";"1073";"6339"
"2918803";"Total";"3837";"6735";"11480"
"2918902";"Total";"939";"261";"2484"
"2919009";"Total";"690";"512";"2666"
"2919058";"Total";"2224";"745";"5273"
"2919108";"Total";"990";"1785";"6645"
"2919157";"Total";"6468";"3637";"15180"
"2919207";"Total";"36375";"40452";"83162"
"2919306";"Total";"1214";"1997";"6967"
"2919405";"Total";"4591";"637";"7006"
"2919504";"Total";"17736";"3745";"20959"
"2919553";"Total";"19874";"4094";"35468"
"2919603";"Total";"2197";"1113";"7616"
